,2016-06-08,2016-06-10,2016-06-11,2016-06-13,2016-06-18,2016-06-23,2016-06-30,2016-07-01,2016-07-02,2016-07-04,2016-07-05,2016-07-06,2016-07-09,2016-07-11,2016-07-14,2016-07-15,2016-07-16,2016-07-19,2016-07-25,2016-07-27,2016-07-28,2016-08-02,2016-08-03,2016-08-06,2016-08-08,2016-08-09,2016-08-10,2016-08-12,2016-08-16,2016-08-17,2016-08-22,2016-08-24,2016-08-25,2016-08-27,2016-08-30,2016-09-01,2016-09-05,2016-09-07,2016-09-10,2016-09-12,2016-09-15,2016-09-19,2016-09-20,2016-09-26,2016-09-30,2016-10-01,2016-10-06,2016-10-17,2016-10-21,2016-10-22,2016-10-24,2016-10-28,2016-10-31,2016-11-05,2016-11-11,2016-11-28,2016-12-03,2016-12-06,2016-12-08,2016-12-11,2016-12-13,2016-12-17,2016-12-28,2016-12-30,2017-01-02,2017-01-04,2017-01-23,2017-01-25,2017-01-28,2017-01-30,2017-02-02,2017-02-04,2017-02-06,2017-02-09,2017-02-11,2017-02-14,2017-02-20,2017-02-25,2017-03-01,2017-03-07,2017-03-13,2017-03-17,2017-03-20,2017-03-22,2017-03-24,2017-04-03,2017-04-07,2017-04-09,2017-04-14,2017-04-19,2017-04-22,2017-04-29,2017-05-01,2017-05-09,2017-05-18,2017-05-20,2017-05-31,2017-06-02,2017-07-10,2017-07-24,2017-07-26,2017-08-01,2017-08-04,2017-08-07,2017-08-09,2017-08-14,2017-08-17,2017-09-11,2017-09-13,2017-09-18,2017-09-20,2017-09-27,2017-09-28,2017-09-29,2017-10-04,2017-10-05,2017-10-06,2017-10-11,2017-10-12,2017-10-13,2017-10-18,2017-10-19,2017-10-20,2017-10-26,2017-11-03,2017-11-08,2017-11-10,2017-11-17,2017-11-29,2017-12-08,2017-12-20,2017-12-27,2017-12-28,2018-01-03,2018-01-04,2018-01-08,2018-01-11,2018-01-19,2018-01-23,2018-01-26,2018-01-29,2018-01-30,2018-02-01,2018-02-02,2018-02-05,2018-02-13,2018-02-20,2018-02-26,2018-02-27,2018-02-28,2018-03-06,2018-03-15,2018-03-19,2018-03-26,2018-04-10,2018-04-16,2018-04-24,2018-04-25,2018-05-01,2018-05-07,2018-05-14,2018-05-18,2018-05-21,2018-05-29,2018-06-04,2018-06-08,2018-06-12,2018-06-14,2018-06-18,2018-06-26,2018-06-27,2018-07-04,2018-07-09,2018-07-17,2018-07-19,2018-07-25,2018-08-02,2018-08-03,2018-08-22,2018-08-23,2018-12-26,2018-12-29,2019-01-02,2019-01-04
44,6.0,12.0,8.0,8.0,6.0,10.0,9.0,14.0,13.0,13.0,8.0,8.0,10.0,8.0,14.0,13.0,6.0,9.0,5.0,9.0,14.0,9.0,8.0,9.0,9.0,9.0,10.0,7.0,7.0,10.0,6.0,10.0,9.0,8.0,6.0,12.0,9.0,10.0,9.0,9.0,12.0,13.0,10.0,12.0,13.0,12.0,13.0,10.0,12.0,7.0,11.0,7.0,10.0,13.0,8.0,5.0,11.0,9.0,12.0,11.0,8.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,6.0,10.0,8.0,11.0,10.0,9.0,10.0,,10.0,11.0,12.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,7.0,11.0,8.0,12.0,9.0,8.0,7.0,11.0,9.0,2.0,1.0,1.0,9.0,10.0,2.0,12.0,6.0,8.0,8.0,11.0,11.0,4.0,9.0,6.0,9.0,10.0,8.0,,12.0,11.0,8.0,10.0,10.0,7.0,11.0,10.0,8.0,7.0,11.0,10.0,6.0,7.0,5.0,7.0,9.0,10.0,8.0,6.0,8.0,6.0,10.0,11.0,,6.0,10.0,9.0,4.0,5.0,8.0,,2.0,7.0,2.0,2.0,2.0,6.0,9.0,8.0,4.0,5.0,7.0,10.0,11.0,9.0,10.0,9.0,7.0,9.0,6.0,9.0,1.0,11.0,7.0,,7.0,6.0,5.0,6.0,2.0,4.0,,9.0,6.0,2.0,7.0,8.0,5.0,9.0
45,2.0,13.0,10.0,8.0,7.0,7.0,10.0,11.0,,11.0,6.0,6.0,11.0,8.0,12.0,6.0,8.0,9.0,5.0,10.0,15.0,11.0,7.0,8.0,6.0,10.0,12.0,5.0,10.0,9.0,7.0,8.0,8.0,11.0,6.0,10.0,5.0,11.0,9.0,10.0,11.0,12.0,7.0,12.0,10.0,13.0,12.0,11.0,11.0,9.0,11.0,9.0,8.0,10.0,8.0,5.0,11.0,8.0,12.0,9.0,10.0,11.0,13.0,11.0,11.0,12.0,8.0,12.0,5.0,10.0,8.0,10.0,8.0,9.0,10.0,,5.0,12.0,11.0,9.0,9.0,10.0,8.0,10.0,6.0,11.0,8.0,11.0,8.0,11.0,10.0,10.0,5.0,11.0,10.0,4.0,3.0,5.0,9.0,11.0,2.0,10.0,4.0,9.0,11.0,11.0,8.0,2.0,11.0,9.0,8.0,10.0,10.0,,11.0,10.0,11.0,12.0,9.0,9.0,11.0,11.0,6.0,4.0,8.0,10.0,9.0,2.0,6.0,9.0,9.0,10.0,8.0,8.0,9.0,7.0,10.0,10.0,,4.0,9.0,11.0,2.0,6.0,8.0,,4.0,9.0,5.0,2.0,2.0,6.0,10.0,7.0,5.0,5.0,7.0,9.0,11.0,10.0,9.0,7.0,11.0,9.0,6.0,8.0,6.0,10.0,7.0,,10.0,8.0,2.0,10.0,2.0,6.0,,8.0,9.0,8.0,8.0,7.0,4.0,8.0
46,9.0,13.0,14.0,7.0,8.0,7.0,9.0,13.0,,12.0,8.0,7.0,13.0,8.0,12.0,2.0,11.0,11.0,6.0,10.0,15.0,10.0,7.0,7.0,8.0,6.0,11.0,2.0,11.0,10.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,12.0,9.0,13.0,11.0,10.0,10.0,7.0,10.0,7.0,10.0,11.0,8.0,11.0,5.0,7.0,11.0,11.0,10.0,9.0,13.0,10.0,12.0,12.0,6.0,11.0,6.0,11.0,11.0,9.0,5.0,11.0,11.0,,7.0,12.0,11.0,11.0,11.0,10.0,10.0,12.0,7.0,10.0,8.0,11.0,6.0,9.0,,12.0,7.0,10.0,11.0,6.0,1.0,7.0,11.0,10.0,5.0,8.0,5.0,5.0,10.0,10.0,8.0,4.0,9.0,10.0,8.0,12.0,11.0,,9.0,11.0,7.0,12.0,10.0,6.0,11.0,11.0,6.0,5.0,5.0,8.0,11.0,2.0,6.0,7.0,8.0,,7.0,11.0,9.0,6.0,9.0,7.0,,6.0,9.0,12.0,5.0,5.0,9.0,,2.0,9.0,2.0,5.0,2.0,6.0,6.0,9.0,5.0,7.0,7.0,9.0,11.0,9.0,9.0,10.0,8.0,7.0,8.0,6.0,8.0,6.0,8.0,,7.0,5.0,2.0,9.0,4.0,7.0,,2.0,9.0,6.0,7.0,6.0,5.0,7.0
47,9.0,13.0,17.0,7.0,8.0,8.0,9.0,6.0,,12.0,10.0,6.0,13.0,7.0,14.0,2.0,11.0,9.0,6.0,8.0,14.0,10.0,8.0,5.0,11.0,8.0,8.0,2.0,9.0,11.0,9.0,8.0,4.0,6.0,10.0,8.0,10.0,12.0,9.0,8.0,9.0,13.0,11.0,13.0,12.0,11.0,11.0,11.0,9.0,7.0,9.0,9.0,13.0,8.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,9.0,11.0,8.0,10.0,12.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,,8.0,12.0,10.0,11.0,12.0,11.0,11.0,11.0,8.0,12.0,8.0,10.0,2.0,11.0,,10.0,6.0,11.0,12.0,7.0,3.0,6.0,9.0,8.0,2.0,7.0,5.0,6.0,8.0,11.0,8.0,2.0,7.0,8.0,11.0,12.0,9.0,,11.0,10.0,5.0,10.0,8.0,5.0,10.0,12.0,6.0,8.0,7.0,9.0,9.0,2.0,8.0,5.0,6.0,,5.0,6.0,6.0,6.0,10.0,4.0,,8.0,9.0,9.0,7.0,7.0,10.0,,5.0,9.0,2.0,7.0,2.0,5.0,10.0,10.0,5.0,10.0,9.0,11.0,11.0,11.0,5.0,10.0,7.0,10.0,8.0,10.0,8.0,6.0,8.0,,4.0,6.0,7.0,10.0,6.0,11.0,,5.0,12.0,6.0,7.0,6.0,6.0,9.0
48,2.0,8.0,17.0,7.0,2.0,7.0,9.0,6.0,,11.0,11.0,5.0,13.0,10.0,13.0,2.0,8.0,9.0,7.0,9.0,13.0,11.0,6.0,5.0,10.0,7.0,10.0,5.0,8.0,11.0,8.0,7.0,4.0,7.0,7.0,12.0,8.0,12.0,10.0,7.0,7.0,13.0,11.0,10.0,13.0,11.0,8.0,11.0,11.0,11.0,8.0,9.0,10.0,11.0,6.0,9.0,7.0,9.0,7.0,10.0,11.0,11.0,10.0,10.0,7.0,13.0,9.0,11.0,10.0,8.0,11.0,9.0,10.0,10.0,11.0,,7.0,11.0,11.0,12.0,12.0,11.0,12.0,11.0,2.0,13.0,10.0,8.0,2.0,11.0,,9.0,8.0,11.0,11.0,5.0,1.0,5.0,8.0,8.0,2.0,8.0,2.0,7.0,10.0,12.0,7.0,2.0,10.0,6.0,11.0,10.0,8.0,,11.0,11.0,8.0,5.0,7.0,5.0,10.0,11.0,8.0,9.0,9.0,11.0,6.0,2.0,9.0,2.0,6.0,,5.0,7.0,8.0,8.0,11.0,5.0,,8.0,8.0,5.0,10.0,9.0,10.0,,2.0,9.0,2.0,7.0,6.0,5.0,10.0,10.0,8.0,9.0,4.0,11.0,11.0,11.0,5.0,11.0,5.0,8.0,9.0,11.0,8.0,2.0,9.0,,2.0,7.0,7.0,11.0,9.0,9.0,,5.0,11.0,11.0,5.0,7.0,7.0,5.0
49,7.0,10.0,16.0,7.0,6.0,7.0,,5.0,,9.0,8.0,8.0,10.0,8.0,14.0,6.0,8.0,12.0,7.0,9.0,15.0,13.0,7.0,5.0,9.0,8.0,12.0,6.0,6.0,13.0,8.0,8.0,6.0,,11.0,11.0,10.0,10.0,9.0,7.0,8.0,11.0,11.0,11.0,10.0,,6.0,9.0,7.0,11.0,9.0,10.0,6.0,12.0,8.0,10.0,10.0,10.0,5.0,11.0,9.0,10.0,9.0,12.0,7.0,11.0,8.0,11.0,10.0,7.0,12.0,11.0,11.0,11.0,12.0,,7.0,10.0,11.0,11.0,11.0,8.0,12.0,11.0,5.0,12.0,10.0,6.0,6.0,11.0,,10.0,8.0,12.0,10.0,7.0,4.0,8.0,8.0,7.0,8.0,9.0,5.0,7.0,12.0,12.0,8.0,6.0,11.0,8.0,11.0,11.0,8.0,,11.0,11.0,9.0,9.0,8.0,2.0,11.0,10.0,9.0,11.0,9.0,12.0,6.0,2.0,,2.0,6.0,,6.0,9.0,7.0,8.0,10.0,6.0,,8.0,11.0,7.0,8.0,8.0,11.0,,5.0,8.0,5.0,5.0,8.0,7.0,9.0,11.0,8.0,6.0,2.0,10.0,11.0,8.0,4.0,10.0,9.0,9.0,8.0,9.0,7.0,2.0,8.0,,5.0,8.0,6.0,10.0,9.0,1.0,,6.0,10.0,7.0,7.0,9.0,8.0,5.0
50,5.0,9.0,15.0,7.0,7.0,6.0,,7.0,,9.0,9.0,10.0,10.0,10.0,15.0,2.0,9.0,10.0,8.0,10.0,13.0,13.0,9.0,6.0,8.0,8.0,8.0,5.0,7.0,12.0,6.0,8.0,6.0,,10.0,9.0,11.0,12.0,9.0,5.0,11.0,12.0,11.0,12.0,9.0,,11.0,8.0,7.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,7.0,10.0,9.0,12.0,7.0,9.0,7.0,11.0,7.0,11.0,9.0,10.0,4.0,9.0,11.0,11.0,11.0,12.0,12.0,,8.0,11.0,12.0,12.0,10.0,5.0,12.0,12.0,6.0,12.0,8.0,8.0,8.0,11.0,,11.0,7.0,12.0,9.0,10.0,3.0,5.0,9.0,6.0,6.0,8.0,4.0,7.0,12.0,11.0,5.0,8.0,9.0,11.0,9.0,12.0,5.0,,9.0,11.0,10.0,10.0,9.0,2.0,10.0,12.0,6.0,11.0,8.0,11.0,6.0,2.0,,2.0,7.0,,8.0,10.0,6.0,9.0,10.0,9.0,,6.0,11.0,10.0,6.0,7.0,9.0,,6.0,8.0,4.0,4.0,5.0,8.0,10.0,11.0,9.0,8.0,5.0,1.0,11.0,,6.0,9.0,9.0,9.0,8.0,9.0,6.0,7.0,8.0,,5.0,8.0,10.0,5.0,10.0,5.0,,8.0,8.0,6.0,9.0,9.0,10.0,9.0
51,7.0,9.0,14.0,2.0,6.0,7.0,,6.0,,10.0,8.0,7.0,14.0,11.0,15.0,4.0,8.0,9.0,12.0,8.0,12.0,13.0,11.0,7.0,10.0,7.0,9.0,9.0,11.0,9.0,7.0,8.0,7.0,,11.0,10.0,10.0,12.0,12.0,5.0,12.0,12.0,9.0,11.0,10.0,,13.0,7.0,6.0,9.0,10.0,12.0,8.0,12.0,10.0,9.0,10.0,11.0,12.0,8.0,10.0,11.0,11.0,,9.0,11.0,12.0,11.0,7.0,11.0,11.0,10.0,12.0,8.0,11.0,,9.0,9.0,11.0,11.0,9.0,7.0,10.0,11.0,9.0,11.0,4.0,9.0,8.0,9.0,,9.0,8.0,11.0,9.0,8.0,1.0,3.0,9.0,8.0,2.0,9.0,7.0,9.0,12.0,10.0,8.0,5.0,9.0,11.0,11.0,13.0,6.0,,11.0,13.0,9.0,11.0,8.0,7.0,9.0,11.0,5.0,7.0,7.0,8.0,8.0,2.0,,2.0,7.0,,7.0,8.0,8.0,8.0,10.0,15.0,,5.0,11.0,10.0,7.0,8.0,9.0,,2.0,8.0,2.0,4.0,4.0,10.0,9.0,11.0,5.0,3.0,7.0,1.0,10.0,,8.0,7.0,8.0,9.0,9.0,10.0,5.0,8.0,7.0,,6.0,8.0,11.0,7.0,10.0,5.0,,10.0,8.0,5.0,7.0,8.0,9.0,9.0
52,12.0,9.0,14.0,6.0,7.0,8.0,,7.0,,11.0,8.0,6.0,14.0,11.0,14.0,6.0,5.0,12.0,12.0,8.0,16.0,13.0,12.0,2.0,7.0,5.0,8.0,11.0,11.0,6.0,7.0,11.0,7.0,,9.0,10.0,9.0,9.0,7.0,7.0,11.0,12.0,11.0,10.0,14.0,,9.0,9.0,7.0,9.0,10.0,8.0,6.0,11.0,7.0,10.0,8.0,8.0,11.0,9.0,7.0,12.0,11.0,,11.0,10.0,12.0,11.0,7.0,11.0,9.0,11.0,11.0,9.0,11.0,,9.0,9.0,11.0,11.0,8.0,7.0,8.0,10.0,2.0,9.0,5.0,10.0,6.0,12.0,,8.0,11.0,9.0,10.0,7.0,1.0,4.0,7.0,8.0,5.0,9.0,7.0,9.0,,10.0,7.0,4.0,6.0,10.0,12.0,13.0,7.0,,12.0,12.0,5.0,11.0,9.0,8.0,,10.0,2.0,5.0,7.0,10.0,11.0,2.0,,2.0,10.0,,7.0,10.0,10.0,8.0,9.0,7.0,,5.0,9.0,9.0,8.0,9.0,6.0,,2.0,10.0,8.0,5.0,5.0,6.0,8.0,10.0,4.0,2.0,2.0,1.0,12.0,,8.0,7.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,,9.0,2.0,9.0,10.0,10.0,8.0,,8.0,9.0,6.0,6.0,8.0,10.0,7.0
53,10.0,13.0,15.0,6.0,7.0,6.0,,5.0,,10.0,9.0,7.0,10.0,11.0,14.0,5.0,7.0,11.0,12.0,9.0,13.0,13.0,8.0,2.0,6.0,6.0,5.0,11.0,11.0,7.0,10.0,10.0,8.0,,8.0,11.0,8.0,9.0,10.0,10.0,12.0,12.0,10.0,11.0,13.0,,9.0,11.0,9.0,4.0,10.0,8.0,10.0,9.0,7.0,10.0,8.0,7.0,10.0,11.0,10.0,12.0,11.0,,11.0,10.0,11.0,10.0,10.0,8.0,11.0,8.0,8.0,10.0,12.0,,10.0,10.0,12.0,11.0,10.0,10.0,8.0,10.0,6.0,10.0,7.0,9.0,7.0,12.0,,11.0,11.0,11.0,10.0,10.0,1.0,6.0,9.0,11.0,6.0,7.0,9.0,10.0,,9.0,8.0,2.0,4.0,10.0,10.0,12.0,7.0,,12.0,12.0,7.0,11.0,10.0,10.0,,11.0,2.0,6.0,8.0,10.0,11.0,4.0,,6.0,8.0,,9.0,10.0,10.0,8.0,1.0,9.0,,6.0,7.0,8.0,7.0,7.0,6.0,,2.0,10.0,7.0,2.0,7.0,5.0,9.0,9.0,6.0,2.0,1.0,4.0,11.0,,8.0,8.0,9.0,9.0,9.0,7.0,,9.0,6.0,,9.0,2.0,7.0,9.0,8.0,7.0,,9.0,9.0,7.0,8.0,11.0,5.0,6.0
54,9.0,13.0,16.0,5.0,8.0,9.0,,5.0,,9.0,8.0,7.0,12.0,10.0,12.0,2.0,7.0,6.0,10.0,7.0,10.0,11.0,8.0,2.0,5.0,7.0,6.0,6.0,11.0,8.0,10.0,11.0,9.0,,9.0,12.0,6.0,8.0,9.0,11.0,9.0,13.0,10.0,12.0,12.0,,10.0,8.0,11.0,8.0,9.0,12.0,10.0,11.0,8.0,11.0,7.0,8.0,7.0,11.0,11.0,12.0,11.0,,11.0,9.0,9.0,10.0,11.0,9.0,11.0,8.0,7.0,8.0,13.0,,10.0,11.0,11.0,11.0,9.0,12.0,11.0,9.0,8.0,11.0,9.0,9.0,7.0,12.0,,10.0,11.0,11.0,9.0,10.0,1.0,8.0,,10.0,2.0,7.0,8.0,12.0,,9.0,10.0,6.0,4.0,11.0,7.0,11.0,,,12.0,12.0,9.0,10.0,9.0,7.0,,7.0,5.0,8.0,6.0,11.0,11.0,6.0,,7.0,7.0,,7.0,6.0,10.0,10.0,6.0,7.0,,8.0,5.0,8.0,5.0,5.0,10.0,,5.0,10.0,5.0,2.0,9.0,5.0,9.0,8.0,6.0,11.0,2.0,1.0,11.0,,10.0,6.0,6.0,7.0,8.0,7.0,,9.0,6.0,,10.0,2.0,9.0,10.0,2.0,8.0,,8.0,5.0,9.0,9.0,9.0,2.0,10.0
55,7.0,9.0,16.0,8.0,7.0,11.0,,6.0,,9.0,10.0,5.0,12.0,12.0,9.0,6.0,6.0,7.0,7.0,2.0,11.0,11.0,9.0,2.0,7.0,12.0,8.0,2.0,,6.0,8.0,9.0,9.0,,11.0,10.0,7.0,9.0,10.0,9.0,7.0,12.0,10.0,10.0,9.0,,8.0,10.0,8.0,6.0,10.0,9.0,10.0,7.0,7.0,11.0,7.0,8.0,7.0,12.0,10.0,12.0,9.0,,11.0,,10.0,9.0,10.0,5.0,11.0,7.0,8.0,10.0,13.0,,9.0,11.0,10.0,11.0,9.0,10.0,,10.0,9.0,12.0,8.0,11.0,7.0,11.0,,10.0,11.0,11.0,10.0,6.0,4.0,3.0,,11.0,2.0,6.0,2.0,12.0,,8.0,7.0,7.0,7.0,9.0,10.0,12.0,,,,11.0,11.0,,9.0,5.0,,7.0,7.0,9.0,5.0,11.0,8.0,6.0,,9.0,5.0,,5.0,6.0,9.0,6.0,1.0,8.0,,6.0,8.0,10.0,5.0,9.0,11.0,,7.0,9.0,2.0,5.0,6.0,2.0,10.0,6.0,5.0,7.0,5.0,,12.0,,9.0,9.0,6.0,9.0,8.0,7.0,,9.0,4.0,,,4.0,8.0,9.0,5.0,9.0,,5.0,7.0,,10.0,2.0,5.0,7.0
56,2.0,7.0,17.0,9.0,5.0,9.0,,8.0,,7.0,8.0,2.0,11.0,10.0,10.0,8.0,7.0,2.0,7.0,6.0,12.0,10.0,8.0,2.0,8.0,9.0,9.0,2.0,,9.0,8.0,10.0,8.0,,9.0,9.0,10.0,10.0,10.0,8.0,6.0,12.0,11.0,9.0,10.0,,11.0,10.0,6.0,6.0,10.0,7.0,8.0,8.0,15.0,7.0,7.0,10.0,2.0,13.0,11.0,13.0,,,7.0,,11.0,11.0,7.0,9.0,,8.0,9.0,8.0,12.0,,7.0,11.0,11.0,12.0,8.0,11.0,,11.0,10.0,12.0,7.0,11.0,10.0,11.0,,7.0,7.0,11.0,11.0,6.0,5.0,4.0,,10.0,5.0,8.0,2.0,10.0,,12.0,7.0,9.0,10.0,8.0,9.0,12.0,,,,,11.0,,11.0,4.0,,8.0,7.0,11.0,,11.0,8.0,5.0,,7.0,5.0,,4.0,6.0,2.0,6.0,12.0,8.0,,8.0,10.0,9.0,6.0,8.0,8.0,,8.0,9.0,4.0,8.0,5.0,2.0,9.0,7.0,7.0,5.0,8.0,,11.0,,9.0,10.0,5.0,9.0,8.0,8.0,,9.0,7.0,,,2.0,6.0,8.0,6.0,10.0,,6.0,9.0,,9.0,6.0,2.0,8.0
57,6.0,5.0,15.0,9.0,8.0,10.0,,10.0,,9.0,11.0,6.0,13.0,10.0,10.0,6.0,8.0,8.0,9.0,8.0,13.0,13.0,6.0,2.0,9.0,2.0,11.0,2.0,,10.0,7.0,2.0,6.0,,7.0,9.0,9.0,10.0,9.0,9.0,7.0,7.0,11.0,10.0,12.0,,9.0,11.0,8.0,5.0,13.0,9.0,9.0,8.0,7.0,8.0,10.0,7.0,10.0,14.0,11.0,8.0,,,7.0,,11.0,10.0,8.0,8.0,,9.0,10.0,7.0,11.0,,2.0,12.0,11.0,11.0,8.0,10.0,,11.0,10.0,11.0,6.0,11.0,10.0,8.0,,10.0,8.0,11.0,10.0,7.0,4.0,5.0,,10.0,7.0,11.0,2.0,11.0,,13.0,6.0,7.0,11.0,7.0,10.0,13.0,,,,,7.0,,11.0,5.0,,10.0,2.0,8.0,,11.0,6.0,2.0,,6.0,5.0,,5.0,7.0,5.0,6.0,10.0,9.0,,8.0,5.0,8.0,6.0,8.0,8.0,,8.0,9.0,5.0,5.0,2.0,2.0,10.0,9.0,5.0,2.0,10.0,,11.0,,8.0,9.0,8.0,9.0,8.0,2.0,,6.0,8.0,,,3.0,2.0,10.0,9.0,10.0,,5.0,10.0,,8.0,5.0,2.0,11.0
58,5.0,7.0,16.0,11.0,10.0,7.0,,8.0,,8.0,11.0,6.0,13.0,11.0,10.0,6.0,6.0,12.0,11.0,8.0,11.0,13.0,8.0,2.0,10.0,5.0,13.0,2.0,,10.0,7.0,7.0,7.0,,7.0,9.0,9.0,9.0,6.0,8.0,8.0,8.0,11.0,12.0,13.0,,5.0,11.0,9.0,9.0,10.0,11.0,8.0,12.0,6.0,8.0,7.0,8.0,9.0,12.0,12.0,7.0,,,7.0,,11.0,10.0,8.0,8.0,,11.0,10.0,8.0,11.0,,5.0,11.0,11.0,11.0,9.0,10.0,,8.0,9.0,12.0,5.0,11.0,11.0,7.0,,8.0,11.0,11.0,11.0,10.0,4.0,6.0,,8.0,6.0,8.0,5.0,9.0,,10.0,9.0,5.0,10.0,6.0,10.0,11.0,,,,,4.0,,5.0,9.0,,11.0,2.0,7.0,,11.0,5.0,2.0,,7.0,6.0,,5.0,7.0,7.0,7.0,1.0,8.0,,6.0,5.0,8.0,5.0,7.0,8.0,,2.0,7.0,2.0,2.0,5.0,2.0,10.0,10.0,10.0,5.0,7.0,,9.0,,5.0,10.0,8.0,6.0,8.0,7.0,,2.0,7.0,,,6.0,2.0,9.0,8.0,9.0,,6.0,10.0,,8.0,8.0,2.0,12.0
59,7.0,9.0,14.0,9.0,10.0,6.0,,13.0,,11.0,12.0,6.0,9.0,12.0,12.0,2.0,6.0,12.0,10.0,9.0,8.0,8.0,7.0,2.0,8.0,8.0,13.0,2.0,,11.0,6.0,8.0,8.0,,11.0,10.0,12.0,7.0,8.0,6.0,10.0,10.0,11.0,11.0,12.0,,8.0,7.0,8.0,7.0,7.0,8.0,9.0,11.0,11.0,8.0,7.0,4.0,10.0,9.0,13.0,9.0,,,7.0,,11.0,10.0,9.0,9.0,,11.0,10.0,9.0,11.0,,7.0,11.0,11.0,12.0,8.0,9.0,,10.0,8.0,11.0,8.0,11.0,2.0,9.0,,9.0,9.0,10.0,12.0,,4.0,4.0,,8.0,4.0,9.0,2.0,8.0,,1.0,9.0,6.0,10.0,8.0,11.0,12.0,,,,,6.0,,6.0,9.0,,11.0,4.0,7.0,,11.0,8.0,2.0,,4.0,6.0,,5.0,10.0,8.0,8.0,5.0,7.0,,6.0,6.0,8.0,5.0,2.0,9.0,,5.0,6.0,5.0,5.0,2.0,6.0,10.0,10.0,11.0,8.0,6.0,,8.0,,6.0,11.0,7.0,8.0,10.0,9.0,,6.0,5.0,,,7.0,2.0,9.0,8.0,11.0,,8.0,11.0,,8.0,10.0,7.0,4.0
60,8.0,8.0,14.0,9.0,9.0,6.0,,14.0,,9.0,12.0,8.0,10.0,10.0,12.0,2.0,5.0,12.0,7.0,11.0,11.0,10.0,7.0,7.0,8.0,8.0,10.0,7.0,,11.0,7.0,,8.0,,9.0,11.0,7.0,7.0,9.0,6.0,8.0,12.0,13.0,8.0,13.0,,9.0,8.0,10.0,6.0,12.0,10.0,10.0,7.0,13.0,7.0,11.0,5.0,9.0,9.0,12.0,10.0,,,8.0,,11.0,11.0,8.0,10.0,,9.0,9.0,6.0,13.0,,,10.0,11.0,12.0,9.0,11.0,,12.0,8.0,12.0,9.0,11.0,4.0,11.0,,11.0,7.0,10.0,11.0,,1.0,5.0,,8.0,2.0,8.0,5.0,11.0,,1.0,12.0,4.0,11.0,8.0,10.0,11.0,,,,,6.0,,8.0,10.0,,12.0,2.0,5.0,,11.0,11.0,2.0,,6.0,9.0,,6.0,10.0,,7.0,6.0,6.0,,8.0,10.0,9.0,4.0,2.0,11.0,,8.0,9.0,2.0,5.0,5.0,7.0,10.0,8.0,6.0,10.0,6.0,,10.0,,8.0,11.0,9.0,6.0,9.0,8.0,,7.0,6.0,,,9.0,8.0,8.0,7.0,5.0,,9.0,9.0,,8.0,10.0,7.0,4.0
61,7.0,7.0,13.0,11.0,8.0,6.0,,12.0,,10.0,13.0,7.0,11.0,10.0,13.0,6.0,6.0,7.0,10.0,10.0,10.0,9.0,7.0,8.0,7.0,10.0,8.0,8.0,,12.0,9.0,,2.0,,7.0,,6.0,7.0,11.0,6.0,8.0,9.0,12.0,11.0,13.0,,8.0,11.0,7.0,8.0,10.0,8.0,6.0,7.0,7.0,9.0,12.0,10.0,11.0,9.0,9.0,11.0,,,8.0,,10.0,11.0,9.0,9.0,,9.0,12.0,5.0,12.0,,,8.0,11.0,12.0,10.0,11.0,,8.0,10.0,13.0,9.0,12.0,2.0,11.0,,12.0,9.0,10.0,12.0,,1.0,1.0,,8.0,6.0,8.0,6.0,12.0,,7.0,12.0,4.0,10.0,10.0,,10.0,,,,,6.0,,10.0,11.0,,12.0,5.0,9.0,,12.0,12.0,2.0,,9.0,10.0,,9.0,10.0,,5.0,7.0,6.0,,9.0,8.0,9.0,4.0,4.0,8.0,,8.0,9.0,7.0,2.0,7.0,9.0,7.0,8.0,5.0,11.0,6.0,,10.0,,9.0,7.0,8.0,5.0,7.0,6.0,,11.0,7.0,,,8.0,10.0,9.0,5.0,2.0,,10.0,7.0,,6.0,,6.0,6.0
